Row RA DEC REDSHIFT UNIFORM_TARGET LOGLBOL LOGLBOL_ERR R_6CM_2500A LOGL5100 LOGL5100_ERR LOGL3000 LOGL3000_ERR LOGL1350 LOGL1350_ERR LOGL_BROAD_HA LOGL_BROAD_HA_ERR LOGL_NARROW_HA LOGL_NARROW_HA_ERR LOGL_BROAD_HB LOGL_BROAD_HB_ERR LOGL_NARROW_HB LOGL_NARROW_HB_ERR LOGL_OIII_5007 LOGL_OIII_5007_ERR LOGL_MGII LOGL_MGII_ERR LOGL_CIV LOGL_CIV_ERR LOGBH LOGBH_ERR
53307 179.107131958 35.50117874146 1.167999982834 1 46.33190838012 0.004466895297782001 -1.0 0.0 -1.0 45.62010115108 0.004466895297782001 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.773660677980004 0.015956293337419998 0.0 -1.0 9.176988781929 0.08827230492726
61595 191.3935394287 39.15791702271 1.320099949837 0 45.96327068722 0.011592524089450001 -1.0 0.0 -1.0 45.25146345818 0.011592524089450001 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.302518857299994 0.02923713388423 0.0 -1.0 8.494347606727 0.08884735376755001
19075 131.04652404790002 9.199174880981 1.58259999752 1 46.65086767578 0.010165318964440001 -1.0 0.0 -1.0 45.93906044674 0.010165318964440001 46.1702480449 0.02414835182239 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.71011783514 0.02961141521375 43.960154193870004 0.1037963214711 9.337571209744999 0.1695188058297
68861 202.79502868650002 11.20958423615 1.4714000225069999 1 46.38586247300999 0.005224710170910999 -1.0 0.0 -1.0 45.67405524397 0.005224710170910999 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.88926449903 0.01521770160127 0.0 -1.0 8.889520757515 0.05620173782979
3288 20.4698009491 40.03481292725 0.6937999725342 0 45.50950962915999 0.019872285124830004 -1.0 44.542898642480004 0.019872285124830004 44.56242893486 0.01836329236752 0.0 -1.0 0.0 -1.0 0.0 -1.0 42.685159189379995 0.03800973964232 41.63913562669 0.09736810627878999 42.833564141070006 0.007458787026899001 42.6399559367 0.038063348569949994 0.0 -1.0 8.6459354424 0.07094678576186
22463 135.8569335938 30.090295791630002 0.5375999808310999 1 45.88098126514 0.005434278935795 -1.0 44.91437027845 0.005434278935795 45.202737783850004 0.002828387896436 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.18517613067 0.02310311305036 40.99766901377 7.865760686936 42.3037251094 0.03506915058521 43.226074539580004 0.020290906643060002 0.0 -1.0 9.095028261353 0.020205317108220003
86509 230.69903564450001 22.19941520691 1.232399940491 1 46.42797518364 0.002956276793981 -1.0 0.0 -1.0 45.7161679546 0.002956276793981 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.823694561479996 0.011963036893170001 0.0 -1.0 8.827000396399999 0.11935790526930001
51506 176.3761749268 23.84991264343 1.289899945259 1 46.215402569 0.006579699530814 -1.0 0.0 -1.0 45.50359533995999 0.006579699530814 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.76060791020001 0.0282988152536 0.0 -1.0 9.179593911109 0.10739415996
71403 206.6936187744 31.26575088501 0.23170000314710001 1 45.07091235486 0.00452258423676 -1.0 44.104301368170006 0.00452258423676 0.0 -1.0 0.0 -1.0 42.45165007847 0.008928843324937999 40.558566826870006 0.1032044266041 41.99328008653 0.04575389192233 39.86911516782 0.2735287191543 41.5318957236 0.016797737788629998 0.0 -1.0 0.0 -1.0 8.661963629869 0.08443415540075999
100649 319.2388916016 -6.701593875885 1.303599953651 0 46.30610927859 0.01065147664569 -1.0 0.0 -1.0 45.59430204955 0.01065147664569 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 0.0 -1.0 43.75234198812 0.04798909120619999 0.0 -1.0 9.53425305993 0.1243633471738
